2024-11-06 20:48:50,485 INFO    MainThread:21748 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2024-11-06 20:48:50,486 INFO    MainThread:21748 [wandb_setup.py:_flush():79] Configure stats pid to 21748
2024-11-06 20:48:50,486 INFO    MainThread:21748 [wandb_setup.py:_flush():79] Loading settings from C:\Users\PRIYA\.config\wandb\settings
2024-11-06 20:48:50,486 INFO    MainThread:21748 [wandb_setup.py:_flush():79] Loading settings from E:\FYP_review2_ref\FYP_review2\project_root\wandb\settings
2024-11-06 20:48:50,486 INFO    MainThread:21748 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-06 20:48:50,486 INFO    MainThread:21748 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'app.py', 'program_abspath': 'E:\\FYP_review2_ref\\FYP_review2\\project_root\\app.py', 'program': 'E:\\FYP_review2_ref\\FYP_review2\\project_root\\app.py'}
2024-11-06 20:48:50,487 INFO    MainThread:21748 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-11-06 20:48:50,487 INFO    MainThread:21748 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2024-11-06 20:48:50,487 INFO    MainThread:21748 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-06 20:48:50,487 INFO    MainThread:21748 [wandb_init.py:_log_setup():534] Logging user logs to E:\FYP_review2_ref\FYP_review2\project_root\wandb\run-20241106_204850-ibfiptav\logs\debug.log
2024-11-06 20:48:50,487 INFO    MainThread:21748 [wandb_init.py:_log_setup():535] Logging internal logs to E:\FYP_review2_ref\FYP_review2\project_root\wandb\run-20241106_204850-ibfiptav\logs\debug-internal.log
2024-11-06 20:48:50,487 INFO    MainThread:21748 [wandb_init.py:init():621] calling init triggers
2024-11-06 20:48:50,487 INFO    MainThread:21748 [wandb_init.py:init():628] wandb.init called with sweep_config: {}
config: {}
2024-11-06 20:48:50,487 INFO    MainThread:21748 [wandb_init.py:init():671] starting backend
2024-11-06 20:48:50,487 INFO    MainThread:21748 [wandb_init.py:init():675] sending inform_init request
2024-11-06 20:48:50,488 INFO    MainThread:21748 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-11-06 20:48:50,489 INFO    MainThread:21748 [wandb_init.py:init():688] backend started and connected
2024-11-06 20:48:50,492 INFO    MainThread:21748 [wandb_init.py:init():783] updated telemetry
2024-11-06 20:48:50,493 INFO    MainThread:21748 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2024-11-06 20:48:52,237 INFO    MainThread:21748 [wandb_init.py:init():867] starting run threads in backend
2024-11-06 20:48:52,746 INFO    MainThread:21748 [wandb_run.py:_console_start():2463] atexit reg
2024-11-06 20:48:52,746 INFO    MainThread:21748 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-11-06 20:48:52,747 INFO    MainThread:21748 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-11-06 20:48:52,747 INFO    MainThread:21748 [wandb_run.py:_redirect():2401] Redirects installed.
2024-11-06 20:48:52,756 INFO    MainThread:21748 [wandb_init.py:init():911] run started, returning control to user process
